naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,83,0,0,19,,,1,,,2.0,,,,,,,,,,,,,
14,Industrie de l'habillement,7,0,0,5,,,0,0,0,1.0,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,2,0,0,5,,,0,0,0,1.0,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",30,0,,,,,3,,,9.0,,,,,,,,,,,,,
17,Industrie du papier et du carton,788,0,29,35,,,2,0,0,3.0,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,33,0,0,14,,,0,,0,1.0,,,,,,,,,,,,,
20,Industrie chimique,1837,1013,40,84,,,4,,,8.0,,,,,,,,,,,,,
21,Industrie pharmaceutique,122,0,0,46,,,0,0,0,1.0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,152,,,,,,0,0,0,4.0,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1300,,0,,,,6,0,1,18.0,,,,,,,,,,,,,
24,Métallurgie,973,,,,,,11,,0,11.0,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",215,1,0,111,,,,0,0,9.0,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",8,,0,,,,,,0,2.0,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,53,1,0,51,,,,0,1,3.0,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,51,0,0,87,,,1,1,1,6.0,,,,,,,,,,,,,
29,Industrie automobile,153,,,127,,,,,0,3.0,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,30,,,,,,0,0,1,1.0,,,,,,,,,,,,,
31,Fabrication de meubles,12,0,0,11,,,1,0,0,2.0,,,,,,,,,,,,,
32,Autres industries manufacturières,21,0,0,12,,,0,0,0,1.0,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,6,0,0,54,,,1,0,0,6.0,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",61,0,,,,,2,1,0,11.0,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",37,0,0,1,,,19,0.0,,41.0,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2102,10.0,209,101.0,,,21,0.0,7.0,14.0,,,,,,,,,,,,,
_T,Total,8076,1064,305,1104,,,75,5,13,156.0,,,,,,,,,,,,,
