"NAF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type d'énergie,Total des énergies,,,,Houille,,,,Lignite - charbon pauvre,,,,Coke de houille,,,,Gaz de réseau,,,,Coke de pétrole,,,,Butane propane,,,,Fioul lourd,,,,Fioul domestique,,,,Bois,,,,Vapeur,,,,Electricité,,,
Indicateurs,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,so,so,13116,so,9262,9523,1025,111,326,334,35,108,530,510,106,199,139383,139383,3421,25,958,951,110,115,2316,2321,839,362,425,437,126,297,331424,333769,179,0.54,2280,3803,96,42,23726,23726,512,22,110376,113682,6667,60
07 - Extraction de minerais métalliques,so,so,1,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,so,0,0,0,707,0,0,0,so,1215,1213,1,0.82,0,0,0,so,0,0,0,so,s,2,0,31
08 - 09 - Industries extractives,so,so,119,so,0,0,0,so,0,0,0,so,0,0,0,so,511,511,15,28,0,0,0,so,s,s,s,s,s,s,s,s,77372,77333,41,0.54,s,s,s,s,s,s,s,s,s,s,s,s
10 - Industries alimentaires,so,so,2201,so,s,s,s,s,s,s,s,s,35,34,6,159,30611,30611,807,26,s,s,s,s,76,73,34,449,93,95,34,365,35411,35663,18,0.52,324,360,18,57,2571,2571,56,22,16947,18215,1182,70
11 - Fabrication de boissons,so,so,227,so,0,0,0,so,0,0,0,so,0,0,0,so,1819,1819,59,33,0,0,0,so,9,11,4,474,3,3,1,364,7939,7925,4,0.57,11,19,1,91,257,257,6,22,1965,1993,151,77
12 - Fabrication de produits à base de tabac,so,so,6,so,0,0,0,so,0,0,0,so,0,0,0,so,71,71,2,25,0,0,0,so,0,0,0,1148,0,0,0,so,30,27,0,0.54,0,0,0,so,0,0,0,so,38,38,4,98
