naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,,,,,,,1,0,0,2.0,,,,,,,,,,,,,
14,Industrie de l'habillement,,,,,,,,0,,1.0,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,,,,,,,0,0,0,1.0,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,,,,,,2,0,1,8.0,,,,,,,,,,,,,
17,Industrie du papier et du carton,,,,,,,1,0,0,4.0,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,,,,,,,0,,,1.0,,,,,,,,,,,,,
20,Industrie chimique,,,,,,,5,0,1,6.0,,,,,,,,,,,,,
21,Industrie pharmaceutique,,,,,,,,0,1,0.0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,,,,,,,1,0,1,7.0,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,,,,,,,11,0,2,20.0,,,,,,,,,,,,,
24,Métallurgie,,,,,,,16,,1,7.0,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",,,,,,,2,,,10.0,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",,,,,,,0,0,0,2.0,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,,,,,,,0,0,0,3.0,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,,,,,,,3,1,1,9.0,,,,,,,,,,,,,
29,Industrie automobile,,,,,,,0,,,3.0,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,,,,,,,1,,,2.0,,,,,,,,,,,,,
31,Fabrication de meubles,,,,,,,0,0,0,2.0,,,,,,,,,,,,,
32,Autres industries manufacturières,,,,,,,0,0,0,2.0,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,,,,,,,,0,0,3.0,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",,,,,,,5,0,0,4.0,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",,,,,,,49,5,0.0,19.0,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",,,,,,,15,0.0,13.0,2.0,,,,,,,,,,,,,
_T,Total,,,,,,,116,7,25,129.0,,,,,,,,,,,,,
