naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,,,,7,1,1012,1012,811.0,139,4,58,,,
14,Industrie de l'habillement,,3,3.0,,2,123,125,90.0,8,,,,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,130,131,89.0,15,0,26,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,0,0.0,,3,1684,1687,1564.0,49,2,72,,,
17,Industrie du papier et du carton,1258,,1258.0,,719,8586,9305,8880.0,241,14,171,,,
18,Imprimerie et reproduction d'enregistrements,,0,0.0,,4,1350,1354,1095.0,118,11,130,,,
20,Industrie chimique,1728,104,1832,1174,658,17309,17967,13330.0,945,3325,366,,,
21,Industrie pharmaceutique,4,,4.0,,4,2126,2129,1368.0,401,11,349,,,
22,Fabrication de produits en caoutchouc et en plastique,50,1,51,39,12,6688,6699,4702.0,1497,38,462,,,
23,Fabrication d'autres produits minéraux non métalliques,82,,82.0,21,,,7679,5629.0,1519,101,429,,,
24,Métallurgie,,368,368.0,,869,20859,21728,8733.0,5178,6718,1099,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3,3,6,3,3,5173,5176,3326.0,1072,180,598,,,
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,2200,2201,1108.0,675,22,396,,,
27,Fabrication d'équipements électriques,1,0,1,0,1,2034,2035,1108.0,598,62,267,,,
28,Fabrication de machines et équipements n.c.a.,,,,,3,2177,2180,1563.0,331,19,267,,,
29,Industrie automobile,40,,40.0,,,,4329,3262.0,493,141,433,,,
30,Fabrication d'autres matériels de transport,71,,71.0,,71,1733,1804,1006.0,429,26,342,,,
31,Fabrication de meubles,0,0,0,0,0,589,589,495.0,25,1,68,,,
32,Autres industries manufacturières,1,,1.0,,0,570,571,363.0,136,4,69,,,
33,Réparation et installation de machines et d'équipements,0,,0.0,,,,349,188.0,41,15,106,,,
38,"Collecte, traitement et élimination des déchets ; récupération",0,1,1,0,0,304,304,270.0,11,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",9.0,0.0,9.0,0.0,8.0,868.0,878,826.0,31,0,19.0,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1700.0,2.0,1702.0,2.0,1388.0,17958.0,19388,15285.0,2379,122.0,1562.0,,,
_T,Total,5614,903,6517,2687,3829,105792,109621,75112.0,16329,10819,7360,,,
