naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,0,6,6,0,6,1080,1086,830,77,1,91,87,,
14,Industrie de l'habillement,,,,,,,123,92,4,0,24,3,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,116,116,77,10,0,18,11,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,,,95,2,2078,2080,1802,65,1,177,36,,
17,Industrie du papier et du carton,1296,92,1388,534,853,7753,8606,8185,66,5,199,151,,
18,Imprimerie et reproduction d'enregistrements,1,0,1,0,1,1347,1347,1025,53,20,184,66,,
20,Industrie chimique,1106,102,1208,587,622,18460,19082,12358,1162,3631,494,1437,,
21,Industrie pharmaceutique,,,,1,4,2397,2401,1260,126,2,376,638,,
22,Fabrication de produits en caoutchouc et en plastique,,,,,,,6758,4347,984,16,548,863,,
23,Fabrication d'autres produits minéraux non métalliques,5,9,14,,,,8100,5680,,,511,406,,
24,Métallurgie,165,119,284,15,270,21581,21851,7699,4193,7855,1374,730,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1,2,3,2,1,5040,5041,3395,610,198,551,286,,
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,0,2129,2129,831,236,33,512,516,,
27,Fabrication d'équipements électriques,2,0,2,0,2,2186,2188,1164,336,210,221,257,,
28,Fabrication de machines et équipements n.c.a.,27,19,46,,,,2531,1739,329,5,312,146,,
29,Industrie automobile,,,,24,13,4747,4760,3135,501,93,442,589,,
30,Fabrication d'autres matériels de transport,,,,21,3,1938,1941,1000,245,27,360,310,,
31,Fabrication de meubles,0,0,0,0,0,573,574,435,14,0,118,7,,
32,Autres industries manufacturières,0,0,0,0,0,861,861,436,71,3,129,223,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,,,104,,3,142,115,,
38,"Collecte, traitement et élimination des déchets ; récupération",,0,0.0,,,,715,,,1,62,14,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",,0.0,0.0,0.0,,,2.0,2.0,10,0.0,38,5,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",27.0,2.0,29.0,384,1295,18950,20246,13487,1139,34,1166,4418,,
_T,Total,4561,441,5002,1697,3306,110376,113682,70292,11833,12197,8049,11311,,
