Nom du fichier xlsx,EACEI_2023_T3,Unnamed: 2,Unnamed: 3
Date de création du fichier,2025-05-13T14:57:05,,
Onglet,Secteur d'activité,NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,
Onglet,Effectif,TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,
Onglet,Régions,REG_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,
Source,Enquête sur les consommations d'énergie dans l'industrie 2023,,
,,,
COD_VAR,LIB_VAR,COD_MOD,LIB_MOD
FREQ,Fréquence,A,Annuel
TIME_PERIOD,Période temporelle,2023 -> 2023,2023 -> 2023
GEO_DATE,Millésime géographique,2023,2023
GEO_SCOPE,Périmètre géographique,FE,France entière
GEO_OBJECT,Niveau géographique,OTHER,Autre type de territoires
GEO_OBJECT,Niveau géographique,REG,Région
GEO_OBJECT,Niveau géographique,FRANCE,France
GEO,Géographie,,
ACTIVITY,Activité économique,B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
ACTIVITY,Activité économique,C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
ACTIVITY,Activité économique,13,Fabrication de textiles
ACTIVITY,Activité économique,14,Industrie de l'habillement
ACTIVITY,Activité économique,15,Industrie du cuir et de la chaussure
ACTIVITY,Activité économique,16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
ACTIVITY,Activité économique,17,Industrie du papier et du carton
ACTIVITY,Activité économique,18,Imprimerie et reproduction d'enregistrements
ACTIVITY,Activité économique,20,Industrie chimique
ACTIVITY,Activité économique,21,Industrie pharmaceutique
ACTIVITY,Activité économique,22,Fabrication de produits en caoutchouc et en plastique
ACTIVITY,Activité économique,23,Fabrication d'autres produits minéraux non métalliques
ACTIVITY,Activité économique,24,Métallurgie
ACTIVITY,Activité économique,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
ACTIVITY,Activité économique,26,"Fabrication de produits informatiques, électroniques et optiques"
ACTIVITY,Activité économique,27,Fabrication d'équipements électriques
ACTIVITY,Activité économique,28,Fabrication de machines et équipements n.c.a.
ACTIVITY,Activité économique,29,Industrie automobile
ACTIVITY,Activité économique,30,Fabrication d'autres matériels de transport
ACTIVITY,Activité économique,31,Fabrication de meubles
ACTIVITY,Activité économique,32,Autres industries manufacturières
ACTIVITY,Activité économique,33,Réparation et installation de machines et d'équipements
ACTIVITY,Activité économique,38,"Collecte, traitement et élimination des déchets ; récupération"
ACTIVITY,Activité économique,_T,Total
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,1_2005,Comparable aux années postérieures à 2005
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,_Z,Non applicable
EACEI_MEASURE,Mesure,GAZR_USQFAB,Quantités de gaz consommées pour la fabrication
EACEI_MEASURE,Mesure,GAZR_USQ2,Quantités de gaz consommées en tant que matières premières
EACEI_MEASURE,Mesure,GAZR_USQ3,Quantités de gaz consommées pour la production d’électricité
EACEI_MEASURE,Mesure,GAZR_USQ4,Quantités de gaz consommées pour le chauffage ou un autre usage
EACEI_MEASURE,Mesure,GAZR_USQ9,Quantités de gaz consommées pour la mobilité sur site
EACEI_MEASURE,Mesure,GAZR_CSTP,Consommation de gaz naturel et autres gaz
EACEI_MEASURE,Mesure,LR_USQFAB,Quantités de fioul domestique consommées pour la fabrication
EACEI_MEASURE,Mesure,LR_USQ2,Quantités de fioul domestique consommées en tant que matières premières
EACEI_MEASURE,Mesure,LR_USQ3,Quantités de fioul domestique consommées pour la production d’électricité
EACEI_MEASURE,Mesure,LR_USQ4,Quantités de fioul domestique consommées pour le chauffage ou un autre usage
EACEI_MEASURE,Mesure,LR_CSTP,Consommation de fioul domestique
EACEI_MEASURE,Mesure,QR_USQFAB,Quantités de gazole non routier consommées pour la fabrication
EACEI_MEASURE,Mesure,QR_USQ2,Quantités de gazole non routier consommées en tant que matières premières
EACEI_MEASURE,Mesure,QR_USQ3,Quantités de gazole non routier consommées pour la production d’électricité
EACEI_MEASURE,Mesure,QR_USQ4,Quantités de gazole non routier consommées pour le chauffage ou un autre usage
EACEI_MEASURE,Mesure,QR_USQ9,Quantités de gazole non routier consommées pour la mobilité sur site
EACEI_MEASURE,Mesure,QR_CSTP,Consommation de gazole non routier
EACEI_MEASURE,Mesure,PR_USQ2,Quantités d’hydrogène consommées en tant que matières premières
EACEI_MEASURE,Mesure,PR_USQ8,"Quantités d’hydrogène utilisées pour la combustion, hors production d’électricité "
EACEI_MEASURE,Mesure,PR_USQ3,Quantités d’hydrogène utilisées pour la production d’électricité
EACEI_MEASURE,Mesure,PR_USQ4,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage
EACEI_MEASURE,Mesure,PR_USQ9,Quantités d’hydrogène utilisées pour la mobilité sur site
EACEI_MEASURE,Mesure,PR_CSTP,Consommation d’hydrogène
NUMBER_EMPL,Taille en tranches d'effectifs,E20T49,20 à 49 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E50T99,50 à 99 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E100T249,100 à 249 salariés
