Nom du fichier xlsx,EACEI_2023_T2,Unnamed: 2,Unnamed: 3
Date de création du fichier,2025-05-16T11:55:19,,
Onglet,Secteur d'activité,"NAF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",
Onglet,Effectif,"TEFF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la tranche d'effectif de l'établissement",
Onglet,Régions,"REG_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la région",
Source,Enquête sur les consommations d'énergie dans l'industrie 2023,,
,,,
COD_VAR,LIB_VAR,COD_MOD,LIB_MOD
FREQ,Fréquence,A,Annuel
TIME_PERIOD,Période temporelle,2023 -> 2023,2023 -> 2023
GEO_DATE,Millésime géographique,2023,2023
GEO_SCOPE,Périmètre géographique,FE,France entière
GEO_OBJECT,Niveau géographique,OTHER,Autre type de territoires
GEO_OBJECT,Niveau géographique,FRANCE,France
GEO_OBJECT,Niveau géographique,REG,Région
GEO,Géographie,,
ACTIVITY,Activité économique,B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
ACTIVITY,Activité économique,C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
ACTIVITY,Activité économique,13,Fabrication de textiles
ACTIVITY,Activité économique,14,Industrie de l'habillement
ACTIVITY,Activité économique,15,Industrie du cuir et de la chaussure
ACTIVITY,Activité économique,16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
ACTIVITY,Activité économique,17,Industrie du papier et du carton
ACTIVITY,Activité économique,18,Imprimerie et reproduction d'enregistrements
ACTIVITY,Activité économique,20,Industrie chimique
ACTIVITY,Activité économique,21,Industrie pharmaceutique
ACTIVITY,Activité économique,22,Fabrication de produits en caoutchouc et en plastique
ACTIVITY,Activité économique,23,Fabrication d'autres produits minéraux non métalliques
ACTIVITY,Activité économique,24,Métallurgie
ACTIVITY,Activité économique,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
ACTIVITY,Activité économique,26,"Fabrication de produits informatiques, électroniques et optiques"
ACTIVITY,Activité économique,27,Fabrication d'équipements électriques
ACTIVITY,Activité économique,28,Fabrication de machines et équipements n.c.a.
ACTIVITY,Activité économique,29,Industrie automobile
ACTIVITY,Activité économique,30,Fabrication d'autres matériels de transport
ACTIVITY,Activité économique,31,Fabrication de meubles
ACTIVITY,Activité économique,32,Autres industries manufacturières
ACTIVITY,Activité économique,33,Réparation et installation de machines et d'équipements
ACTIVITY,Activité économique,38,"Collecte, traitement et élimination des déchets ; récupération"
ACTIVITY,Activité économique,_T,Total
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,1_2005,Comparable aux années postérieures à 2005
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,_Z,Non applicable
EACEI_MEASURE,Mesure,FACTURE,Facture énergétique
EACEI_MEASURE,Mesure,CMSR_QAUP,Combustibles minéraux solides achetés
EACEI_MEASURE,Mesure,CMSR_CSUP,Consommation de combustibles minéraux solides
EACEI_MEASURE,Mesure,CMSR_VALA,Valeur des achats de combustibles minéraux solides
EACEI_MEASURE,Mesure,CMSR_PRIX,Prix moyen des combustibles minéraux solides
EACEI_MEASURE,Mesure,GAZR_QAUP,Quantités achetées de gaz
EACEI_MEASURE,Mesure,GAZR_CSUP,Consommation de gaz naturel et autres gaz
EACEI_MEASURE,Mesure,GAZR_VALA,Valeur des achats de gaz
EACEI_MEASURE,Mesure,GAZR_PRIX,Prix moyen annuel du gaz de réseau
EACEI_MEASURE,Mesure,BIOR_QAUP,Quantités achetées de biogaz et biométhane
EACEI_MEASURE,Mesure,BIOR_CSUP,Consommation de biogaz et biométhane
EACEI_MEASURE,Mesure,BIOR_VALA,Valeur des achats de biogaz et biométhane
EACEI_MEASURE,Mesure,BIOR_PRIX,Prix moyen annuel du biogaz et biométhane
EACEI_MEASURE,Mesure,IR_QAUP,Quantités achetées de coke de pétrole
EACEI_MEASURE,Mesure,IR_CSUP,Consommation de coke de pétrole
EACEI_MEASURE,Mesure,IR_VALA,Valeur des achats de coke de pétrole
EACEI_MEASURE,Mesure,IR_PRIX,Prix moyen annuel du coke de pétrole
EACEI_MEASURE,Mesure,JR_QAUP,Quantités achetées de butane-propane
EACEI_MEASURE,Mesure,JR_CSUP,Consommation de butane-propane
EACEI_MEASURE,Mesure,JR_VALA,Valeur des achats de butane-propane
EACEI_MEASURE,Mesure,JR_PRIX,Prix moyen annuel du butane-propane
EACEI_MEASURE,Mesure,KR_QAUP,Quantités achetées de fioul lourd
EACEI_MEASURE,Mesure,KR_CSUP,Consommation de fioul lourd
EACEI_MEASURE,Mesure,KR_VALA,Valeur des achats de fioul lourd
EACEI_MEASURE,Mesure,KR_PRIX,Prix moyen annuel du fioul lourd
EACEI_MEASURE,Mesure,LR_QAUP,Quantités achetées de fioul domestique
EACEI_MEASURE,Mesure,LR_CSUP,Consommation de fioul domestique
EACEI_MEASURE,Mesure,LR_VALA,Valeur des achats de fioul domestique
EACEI_MEASURE,Mesure,LR_PRIX,Prix moyen annuel du fioul domestique
EACEI_MEASURE,Mesure,QR_QAUP,Quantités achetées de gazole non routier
EACEI_MEASURE,Mesure,QR_CSUP,Consommation de gazole non routier
EACEI_MEASURE,Mesure,QR_VALA,Valeur des achats de gazole non routier
EACEI_MEASURE,Mesure,QR_PRIX,Prix moyen annuel du gazole non routier
EACEI_MEASURE,Mesure,OR_QAUP,Quantités achetées de bois
EACEI_MEASURE,Mesure,OR_CSUP,Consommation de bois et sous-produit du bois
EACEI_MEASURE,Mesure,OR_VALA,Valeur des achats de bois
EACEI_MEASURE,Mesure,OR_PRIX,Prix moyen annuel du bois
EACEI_MEASURE,Mesure,CR_QAUP,Vapeur achetée
EACEI_MEASURE,Mesure,CR_VALA,Valeur des achats de vapeur
EACEI_MEASURE,Mesure,CR_PRIX,Prix moyen annuel de la vapeur
EACEI_MEASURE,Mesure,PR_QAUP,Quantités achetées d’hydrogène
EACEI_MEASURE,Mesure,PR_CSUP,Consommation d’hydrogène
EACEI_MEASURE,Mesure,PR_PROD,Quantité d’hydrogène autoproduite
EACEI_MEASURE,Mesure,PR_VALA,Valeur des achats d’hydrogène
EACEI_MEASURE,Mesure,PR_PRIX,Prix moyen annuel d’hydrogène
EACEI_MEASURE,Mesure,PR_AUCO,Quantité d’hydrogène autoproduite et consommée
EACEI_MEASURE,Mesure,PR_VEND,Quantité d’hydrogène autoproduite et vendue
EACEI_MEASURE,Mesure,BR_QAUP,Électricité achetée
EACEI_MEASURE,Mesure,BR_CSUP,Consommation d’électricité
EACEI_MEASURE,Mesure,BR_PROD,Électricité autoproduite
EACEI_MEASURE,Mesure,BR_VALA,Valeur des achats d'électricité
EACEI_MEASURE,Mesure,BR_PRIX,Prix moyen annuel de l’électricité
NUMBER_EMPL,Taille en tranches d'effectifs,E20T49,20 à 49 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E50T99,50 à 99 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E100T249,100 à 249 salariés
