Nom du fichier xlsx,EACEI_2023_T5,Unnamed: 2,Unnamed: 3
Date de création du fichier,2025-05-13T14:57:06,,
Onglet,Secteur d'activité,NAF_T5 : Contrats d’électricité et de gaz selon le secteur d'activité en NAF rév.2 de l'établissement,
Onglet,Régions,REG_T5 :  Contrats d’électricité et de gaz selon la région,
Onglet,Effectif,TEFF_T5 : Contrats d’électricité et de gaz selon la tranche d'effectif de l'établissement,
Source,Enquête sur les consommations d'énergie dans l'industrie 2023,,
,,,
COD_VAR,LIB_VAR,COD_MOD,LIB_MOD
FREQ,Fréquence,A,Annuel
TIME_PERIOD,Période temporelle,2023 -> 2023,2023 -> 2023
GEO_DATE,Millésime géographique,2023,2023
GEO_SCOPE,Périmètre géographique,FE,France entière
GEO_OBJECT,Niveau géographique,OTHER,Autre type de territoires
GEO_OBJECT,Niveau géographique,REG,Région
GEO_OBJECT,Niveau géographique,FRANCE,France
GEO,Géographie,,
ACTIVITY,Activité économique,B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
ACTIVITY,Activité économique,C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
ACTIVITY,Activité économique,13,Fabrication de textiles
ACTIVITY,Activité économique,14,Industrie de l'habillement
ACTIVITY,Activité économique,15,Industrie du cuir et de la chaussure
ACTIVITY,Activité économique,16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
ACTIVITY,Activité économique,17,Industrie du papier et du carton
ACTIVITY,Activité économique,18,Imprimerie et reproduction d'enregistrements
ACTIVITY,Activité économique,20,Industrie chimique
ACTIVITY,Activité économique,21,Industrie pharmaceutique
ACTIVITY,Activité économique,22,Fabrication de produits en caoutchouc et en plastique
ACTIVITY,Activité économique,23,Fabrication d'autres produits minéraux non métalliques
ACTIVITY,Activité économique,24,Métallurgie
ACTIVITY,Activité économique,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
ACTIVITY,Activité économique,26,"Fabrication de produits informatiques, électroniques et optiques"
ACTIVITY,Activité économique,27,Fabrication d'équipements électriques
ACTIVITY,Activité économique,28,Fabrication de machines et équipements n.c.a.
ACTIVITY,Activité économique,29,Industrie automobile
ACTIVITY,Activité économique,30,Fabrication d'autres matériels de transport
ACTIVITY,Activité économique,31,Fabrication de meubles
ACTIVITY,Activité économique,32,Autres industries manufacturières
ACTIVITY,Activité économique,33,Réparation et installation de machines et d'équipements
ACTIVITY,Activité économique,38,"Collecte, traitement et élimination des déchets ; récupération"
ACTIVITY,Activité économique,_T,Total
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,1_2005,Comparable aux années postérieures à 2005
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,_Z,Non applicable
EACEI_MEASURE,Mesure,BR_CONTRAT_CHANG_1_PROP,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2023
EACEI_MEASURE,Mesure,BR_CONTRAT_FIN_1_PROP,Proportion d’établissements avec un contrat d’électricité au tarif réglementé
EACEI_MEASURE,Mesure,BR_CONTRAT_FIN_2_PROP,Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle
EACEI_MEASURE,Mesure,BR_CONTRAT_FIN_3_PROP,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé
EACEI_MEASURE,Mesure,BR_CONTRAT_FIN_4_PROP,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros
EACEI_MEASURE,Mesure,BR_CONTRAT_FIN_5_PROP,Proportion d’établissements avec un autre type de contrat d’électricité
EACEI_MEASURE,Mesure,DR_CONTRAT_CONCERNE_PROP,Proportion d’établissements qui consomment du gaz
EACEI_MEASURE,Mesure,DR_CONTRAT_CHANG_1_PROP,Proportion d’établissements ayant renouvelé leur contrat de gaz en 2023
EACEI_MEASURE,Mesure,DR_CONTRAT_FIN_1_PROP,Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle
EACEI_MEASURE,Mesure,DR_CONTRAT_FIN_2_PROP,Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros
EACEI_MEASURE,Mesure,DR_CONTRAT_FIN_3_PROP,Proportion d’établissements avec un autre type de contrat de gaz
NUMBER_EMPL,Taille en tranches d'effectifs,E20T49,20 à 49 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E50T99,50 à 99 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E100T249,100 à 249 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E250T499,250 à 499 salariés
NUMBER_EMPL,Taille en tranches d'effectifs,E_GE500,500 salariés et plus
NUMBER_EMPL,Taille en tranches d'effectifs,_T,Total
UNIT_MEASURE,Unité de mesure,EUR,Euros
UNIT_MEASURE,Unité de mesure,EUR_GWH,Euros par gigawattheure
UNIT_MEASURE,Unité de mesure,EUR_L,Euros par litre
UNIT_MEASURE,Unité de mesure,EUR_T,Euros par tonne
UNIT_MEASURE,Unité de mesure,GWH,Gigawattheure
UNIT_MEASURE,Unité de mesure,L,Litre
UNIT_MEASURE,Unité de mesure,PT,Pourcentage
UNIT_MEASURE,Unité de mesure,T,Tonne
UNIT_MEASURE,Unité de mesure,TOE,Tonnes d'équivalent pétrole
UNIT_MEASURE,Unité de mesure,_Z,Nombre
