ID,NAF,Houille,Lignite - charbon pauvre,Coke de houille,Gaz naturel de réseau,Autres gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Achats d'électricité,Autoconsommation d'électricité,Total brut,Ventes de vapeur,Consommation pour production d'électricité,Total net
_T,Total,4920,207,618,11083,105,806,1658,1005,296,20699,1373,702,1011,236,369,3690,24389,1708,9322,354,35773,398,1433,33955
_T_HIAA,Total hors IAA,4777,86,597,8633,95,806,1557,748,250,17549,1369,702,935,236,369,3612,21161,1439,7716,252,30568,353,1175,29041
07,Extraction de minerais métalliques,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,2,1
08,Autres industries extractives,0,0,0,60,s,0,s,s,83,166,10,0,12,s,s,32,198,s,s,s,292,0,0,292
10,Industries alimentaires,143,121,21,2360,10,0,91,255,37,3038,3,0,54,0,0,57,3095,264,1446,101,4906,45,258,4615
11,Fabrication de boissons,0,0,0,90,0,0,9,2,4,105,0,0,0,0,0,0,105,5,129,0,239,0,0,238
13,Fabrication de textiles,0,0,0,139,1,0,6,4,4,154,0,0,0,0,0,0,154,2,s,s,267,s,s,265
14,Industrie de l'habillement,0,0,0,12,0,0,0,1,1,14,0,0,0,0,0,0,14,0,s,s,24,s,s,24
15,Industrie du cuir et de la chaussure,0,0,0,8,s,0,0,0,s,s,0,0,s,0,0,s,10,2,13,0,25,0,0,25
16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",0,0,0,67,s,0,s,4,12,87,s,s,s,s,s,318,405,0,153,1,559,0,9,550
17,Industrie du papier et du carton,s,0,0,824,s,0,11,s,7,943,0,689,462,s,s,1265,2208,386,791,90,3475,28,589,2859
18,Imprimerie et reproduction d'enregistrements,0,0,0,77,s,0,s,0,3,83,0,0,0,0,0,1,84,2,s,s,210,0,5,204
20,Industrie chimique,307,s,s,3300,66,s,1391,325,16,5434,1125,s,25,s,36,1209,6643,764,1484,75,8966,319,517,8130
21,Industrie pharmaceutique,0,0,0,193,0,0,s,1,s,s,0,0,0,0,s,s,202,21,192,0,414,s,s,410
22,Fabrication de produits en caoutchouc et en plastique,0,0,0,241,2,0,14,14,12,282,s,0,3,s,0,4,286,92,606,1,986,s,s,980
23,Fabrication d'autres produits minéraux non métalliques,316,21,64,1350,s,635,22,294,s,2735,207,0,56,101,319,683,3418,s,s,s,4123,s,s,4104
24,Métallurgie,4123,s,488,1033,9,134,s,15,s,5898,s,0,52,s,s,80,5978,74,1811,67,7930,s,s,7929
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",s,s,s,355,10,0,33,3,15,424,0,0,s,s,s,1,425,1,434,0,861,0,1,860
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,49,0,0,1,0,4,54,s,0,0,s,0,1,55,1,198,0,254,0,0,254
27,Fabrication d'équipements électriques,0,0,s,137,0,s,s,s,5,206,s,0,s,0,s,3,209,2,s,s,396,0,1,395
28,Fabrication de machines et équipements n.c.a.,0,0,0,176,1,0,s,s,13,203,0,0,s,0,s,1,204,s,s,s,393,0,0,393
29,Industrie automobile,0,0,5,370,0,0,s,s,4,s,0,0,s,0,0,s,391,s,s,s,852,s,s,838
30,Fabrication d'autres matériels de transport,0,0,0,152,s,0,3,s,3,158,s,0,s,s,s,6,164,7,s,s,326,s,s,315
31,Fabrication de meubles,0,0,0,37,s,0,s,s,4,45,0,0,27,0,0,28,73,0,49,0,122,0,0,122
32,Autres industries manufacturières,0,0,0,28,0,0,s,s,1,s,0,0,s,0,0,s,31,s,s,s,83,0,0,83
33,Réparation et installation de machines et d'équipements,0,0,0,26,2,0,2,1,5,36,0,0,0,0,0,0,36,s,s,s,69,s,s,68
