naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,77.7,0,,9.7,,,0,,,1,,0.9,0,0,0.2,0.5,,,,,,,
14,Industrie de l'habillement,5,,,8.3,0.4,,0.2,0,0,0.4,,0.0,0,0,0,0.0,,0,,0,0,0,
15,Industrie du cuir et de la chaussure,3.5,0,0,2.8,0,,0.4,0,0,0.3,,0.0,0,0,0,0.0,,0,,0,0,0,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",33.7,0,,,0,,,0,,1.8,,1.5,0,,,18.5,,0,,0,0,0,
17,Industrie du papier et du carton,549.6,0,34.4,30,0,,2.7,,,,,0.3,0,,,2.5,,0,,0,0,0,
18,Imprimerie et reproduction d'enregistrements,14.4,,0,,0,,,,0.5,0.4,,0.0,0,0,0,0.0,,0,,0,0,0,
20,Industrie chimique,1716.8,648,62.2,35.3,0.1,,6.7,,,2.2,,0.6,,,,3.4,,312.3,,0,,0,
21,Industrie pharmaceutique,125.3,,,23.2,0,,,,0.4,,,0.0,,,0,0.1,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,118.8,0,,43,,,,,,3,,0.1,0,0,0.3,1.2,,0,,0,0,0,
23,Fabrication d'autres produits minéraux non métalliques,1225.7,13.2,0,44,1,,5.9,,,3.2,,4.7,,,2,21.8,,0.4,,0,0,0,
24,Métallurgie,747.6,21.1,,44.3,,,1.1,,,2,,0.3,,,1,7.7,,5.5,,0,,0,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",153.6,1.3,0.2,72.1,7.2,,2,0.3,0,3.6,,0.3,0.1,0.2,0.6,2.5,,0.1,,0,,0,
26,"Fabrication de produits informatiques, électroniques et optiques",7.3,,0,15.8,0,,0,0,0,0.5,,0.0,,,0,0.0,,0.1,,0,0.2,0,
27,Fabrication d'équipements électriques,38.7,,0,29.4,,,,0,,0.8,,0.0,,,0,0.5,,0.6,,0,,0,
28,Fabrication de machines et équipements n.c.a.,,,0,53.8,0.1,,0.2,,,4,,1.5,0.7,,,1.9,,,,0,0,0,
29,Industrie automobile,128.8,0.1,0.6,75.3,0.1,,0.2,,,1,,0.1,,,,0.8,,0,,0,0,0,
30,Fabrication d'autres matériels de transport,24.1,,,55.3,,,0.1,0,0.5,0.7,,0.1,0,0.2,0.1,0.8,,,,,,,
31,Fabrication de meubles,,0,,8.1,0,,0,0,0,0.8,,0.0,0,0,0,0.1,,,,,,,
32,Autres industries manufacturières,10.7,0,0,8.6,0,,0,0,0,0.1,,0.0,,0,,0.0,,0,,0,0,0,
33,Réparation et installation de machines et d'équipements,4.8,0,,10.9,0,,1.7,0,0,0.6,,0.6,0,0.1,0.5,2.7,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",64.3,0,0,1.2,0.1,,,0.6,,0.3,,3.0,0.6,0.5,1.1,18.6,,0,,0,0,0,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",,0,0,0.2,0,,0.4,0,0,0,,5.9,0,1.4,3.2,54.6,,0,,0,0,0,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1843.5,0.5,276.2,68.5,3.8,,13.2,0,5.2,4.7,,8.2,1.5,0.5,2.1,5.8,,9.3,,0,0,0,
_T,Total,6964.1,691.2,384.7,649.8,15,,36.2,5.1,14.4,33.3,,27.9,4,4.4,13.1,143.9,,328.5,,,10.2,,
