naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,0,0,0,0,0,1009,1009,,65,,,,,
14,Industrie de l'habillement,0,7,7,,,,107,,0,,,,,
15,Industrie du cuir et de la chaussure,0,0,0,0,0,144,144,,4,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",441,2,443,436,8,1857,1865,,39,,,,,
17,Industrie du papier et du carton,1324,7,1331,713,619,6919,7538,,54,,,,,
18,Imprimerie et reproduction d'enregistrements,0,0,0,0,0,961,961,,33,,,,,
20,Industrie chimique,1258,70,1328,406,965,18918,19883,,399,,,,,
21,Industrie pharmaceutique,4,1,5,,,,2339,,163,,,,,
22,Fabrication de produits en caoutchouc et en plastique,,,,,,,6686,,726,,,,,
23,Fabrication d'autres produits minéraux non métalliques,6,11,17,,,,8201,,1467,,,,,
24,Métallurgie,,,,15,426,20742,21168,,3209,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",1,6,7,5,1,4824,4825,,383,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",1,0,1,0,1,1918,1919,,129,,,,,
27,Fabrication d'équipements électriques,2,2,4,,,,1986,,379,,,,,
28,Fabrication de machines et équipements n.c.a.,1,0,1,0,1,2008,2009,,201,,,,,
29,Industrie automobile,,,,,,,4449,,274,,,,,
30,Fabrication d'autres matériels de transport,37,0,37,22,15,2060,2075,,286,,,,,
31,Fabrication de meubles,0,,0.0,,,,401,,5,,,,,
32,Autres industries manufacturières,,0,0.0,0,,,593,,22,,,,,
33,Réparation et installation de machines et d'équipements,0,0,0,0,0,480,480,,42,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",,,,183,49,686,734,,46,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",8,0,8,0,8,655,664,,0,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1764.0,83,1847.0,335,1512.0,18493.0,20009,,1027,,,,,
_T,Total,5617,454,6071,2143,3971,106074,110045,,8954,,,,,
