naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,94.0,0.0,0.0,1.0,,,1,0,0,3,,,,,,,,,,,,,
14,Industrie de l'habillement,7.0,1.0,0.0,4,,,0,,,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,2.0,0.0,0.0,7.0,,,0,0,0,,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",0.0,0.0,8.0,0.0,,,3,0,0,4,,,,,,,,,,,,,
17,Industrie du papier et du carton,697.0,0.0,73.0,,,,2,0,0,5,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,47.0,0.0,0.0,0.0,,,0,0,1,2,,,,,,,,,,,,,
20,Industrie chimique,1572.0,1352.0,276.0,159.0,,,7,0,1,7,,,,,,,,,,,,,
21,Industrie pharmaceutique,116.0,0.0,0.0,77,,,1,0,1,,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,153.0,1.0,2.0,87,,,,0,,9,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1259.0,9.0,3.0,79.0,,,17,0,1,,,,,,,,,,,,,,
24,Métallurgie,910.0,18.0,0.0,104.0,,,18,,0,,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",208.0,0.0,0.0,156,,,2,0,0,13,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",8.0,0.0,0.0,41,,,0,0,0,3,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,59.0,0.0,0.0,79,,,1,0,1,4,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,61.0,0.0,0.0,116,,,5,0,0,7,,,,,,,,,,,,,
29,Industrie automobile,163.0,0.0,0.0,197,,,0,0,0,3,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,31.0,6.0,11.0,104.0,,,0,0,0,2,,,,,,,,,,,,,
31,Fabrication de meubles,23.0,0.0,0.0,14.0,,,1,0,0,3,,,,,,,,,,,,,
32,Autres industries manufacturières,10.0,0.0,0.0,0.0,,,0,0,0,1,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,0.0,0.0,0.0,24,,,2,0,0,3,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",0.0,0.0,0.0,0,,,0,0,0,0,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",59.0,0.0,0.0,1,,,,3,2,,,,,,,,,,,,,,
_T,Total,5544.0,1395.0,383.0,1403,,,124,4,11,111,,,,,,,,,,,,,
