naf_code,naf_label,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,T1 Consommation d’électricité T1,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d’électricité,Total net de la consommation
13,Fabrication de textiles,456,0,109,,0,4,3,,,,,0,0,,0,0,,,,225,,,225
14,Industrie de l'habillement,336,0,16,,0,,0,1,,,0,0,0,,0,0,0,,,31,,,31
15,Industrie du cuir et de la chaussure,233,0,7,,0,,0,2,,,0,0,,,0,0,,0,,26,,,26
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",729,0,57,,0,,1,10,,,0,,,,,0,318,,,565,,,553
17,Industrie du papier et du carton,551,0.0,938,,0,7,,,,1012,,,278,,109,5,1177,416,,3397,,,3015
18,Imprimerie et reproduction d'enregistrements,705,0,56,,0,5,0,1,,62,0,0,0,,0,,,,,176,,,175
20,Industrie chimique,904,378.0,3304,,,1792,294,14,,5844,1024,,68,,51,,1171,835,,9454,,,8901
21,Industrie pharmaceutique,318,0,177,,0,,,,,,0,0,0,,0,,,98,,505,,,501
22,Fabrication de produits en caoutchouc et en plastique,1506,0,213,,0,10,15,7,,244,,0,,,0,0,17,75,,944,,,925
23,Fabrication d'autres produits minéraux non métalliques,990,254,1525,,627,17,158,32,,2614,67,0,68,,98,322,556,4,,3850,,,3848
24,Métallurgie,429,203.0,1033,,,15,14,23,,5927,,0,39,,,0,40,23,,7807,,,7758
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3387,,379,,0,44,,14,,446,0,0,,,,1,2,2,,888,,,887
26,"Fabrication de produits informatiques, électroniques et optiques",726,0,51,,0,0,,,,52,0,0,0,,0,0,0,1,,235,,,235
27,Fabrication d'équipements électriques,726,0.0,134,,,6,1,5,,176,0,0,,,,,1,1,,355,,,354
28,Fabrication de machines et équipements n.c.a.,1592,0,194,,0,9,1,10,,213,,0,1,,0,0,,,,570,,,568
29,Industrie automobile,571,0.0,315,,0,13,0,,,340,,0,,,0,0,3,18,,747,,,742
30,Fabrication d'autres matériels de transport,294,0,140,,0,3,,,,148,0,0,1,,0,0,1,7,,327,,,324
31,Fabrication de meubles,449,0,19,,0,12,0,9,,41,0,0,19,,0,0,19,0,,105,,,105
32,Autres industries manufacturières,515,0,25,,0,1,0,,,,0,0,0,,0,0,0,,,79,,,79
33,Réparation et installation de machines et d'équipements,1390,0,28,,0,2,3,2,,35,0,0,0,,0,0,0,2,,83,,,83
38,"Collecte, traitement et élimination des déchets ; récupération",417,0,41,,0,1,1,12,,55,0,0,,,,0,23,18,,137,,,132
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",256,0,51,,0,6,4,70,,131,1.0,0,8,,0,8,1.0,0.0,,239,,,238
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",3103,17.0,2440,,0,93.0,160,35.0,,2952.0,0.0,0,73,,0.0,0.0,114,186.0,,4902,,,4568
_T,Total,20583,5690,11251,,766,2052,700,266,,20724,1107,804,891,,324,353,3479,1723,,35648,552,825,34271
