naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,,,,5,1,,1166,936,85,2,72,71,,
14,Industrie de l'habillement,,,,,,,153,,4,,39,,,
15,Industrie du cuir et de la chaussure,,,,,,112,112,74,13,1,16,8,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",79,0,79,78,2,1833,1835,1717,26,2,65,24,,
17,Industrie du papier et du carton,,,,603,693,,9204,8768,112,5,181,138,,
18,Imprimerie et reproduction d'enregistrements,,,,,,1249,1251,1029,37,8,106,71,,
20,Industrie chimique,,,,1012,527,18124,18651,12708,455,3836,405,1248,,
21,Industrie pharmaceutique,,,,1,3,,2626,1582,192,8,342,502,,
22,Fabrication de produits en caoutchouc et en plastique,55,2,57,,,7023,7062,4673,967,23,610,789,,
23,Fabrication d'autres produits minéraux non métalliques,,,,15,9,7865,7873,5757,1095,85,361,575,,
24,Métallurgie,,,,231,768,20365,21133,8179,3495,7051,841,1567,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3,1,4,1,4,5094,5098,3384,592,167,582,372,,
26,"Fabrication de produits informatiques, électroniques et optiques",0,0,0,0,1,2115,2116,871,368,44,542,290,,
27,Fabrication d'équipements électriques,4,0,4,1,3,,2062,1210,310,19,298,224,,
28,Fabrication de machines et équipements n.c.a.,,,,,,4116,4122,1539,431,,,,,
29,Industrie automobile,,,,32,5,,4483,3511,246,132,327,266,,
30,Fabrication d'autres matériels de transport,,,,,,1962,1983,1026,320,33,301,303,,
31,Fabrication de meubles,0,,0.0,,0,,515,430,26,,,10,,
32,Autres industries manufacturières,,,,0,,604,605,374,27,2,71,131,,
33,Réparation et installation de machines et d'équipements,,,,,0,,539,223,55,19,187,56,,
38,"Collecte, traitement et élimination des déchets ; récupération",,,,,,475,476,412,11,3,35,16,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",5.0,0.0,5.0,0.0,5.0,,815,757,5,0,23,29,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1763.0,6.0,1769.0,1.0,2.0,16673.0,19165,13216.0,1249,60,1048.0,3548,,
_T,Total,5310,620,5930,2709,3221,109823,113044,72487,10121,11516,8517,10403,,
