naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,85,0,,,,,,0,0,1,,,,,,,,,,,,,
14,Industrie de l'habillement,8,0,,,,,0,0,0,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,1,0,0,6,,,,0,,1,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",42,,,,,,2,0,0,8,,,,,,,,,,,,,
17,Industrie du papier et du carton,850,,,48,,,2,,,4,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,36,,,18,,,0,0,1,1,,,,,,,,,,,,,
20,Industrie chimique,2279,791,152,83,,,6,0,1,8,,,,,,,,,,,,,
21,Industrie pharmaceutique,133,,0,,,,0,0,,0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,139,,,66,,,1,0,1,5,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1438,,,,,,9,0,1,21,,,,,,,,,,,,,
24,Métallurgie,940,0,0,93,,,14,,,8,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",227,1,0,152,,,,0,,12,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",11,0,0,40,,,,0,0,,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,,0,,63,,,0,,,4,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,,0,,107,,,2,1,1,6,,,,,,,,,,,,,
29,Industrie automobile,174,1,3,137,,,1,,,3,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,33,,,94,,,1,,,3,,,,,,,,,,,,,
31,Fabrication de meubles,,,0,13,,,1,0,0,8,,,,,,,,,,,,,
32,Autres industries manufacturières,12,0,0,13,,,,0,,0,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,,,0,20,,,,0,,2,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",36,0,0,5,,,3,,,8,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",50,0,0,1,,,29,0.0,0.0,37,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2079,0.0,230,118.0,,,13,0.0,12.0,2.0,,,,,,,,,,,,,
_T,Total,8745,816,446,1244,,,87,6,20,153,,,,,,,,,,,,,
