TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
Indicateurs,Nombre d'établissements,Houille,Lignite - charbon pauvre,Coke de houille,Gaz de réseau,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Total combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,Consommation pour production d'électricité,Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,21032,5766,s,423,10548,669,2551,s,249,20887,1272,s,919,s,s,3593,24480,1704,9608,35792,577,631,34584
20 à 49 salariés,12000,s,17,6,713,s,54,82,98,1045,26,s,80,28,s,153,1198,69,962,2229,ns,ns,2225
50 à 99 salariés,4262,123,44,68,1090,165,42,48,46,1625,s,0,125,s,113,504,2129,138,1257,3523,ns,ns,3502
100 à 249 salariés,3268,s,59,59,3435,380,67,114,s,4581,31,s,346,s,222,760,5341,554,2411,8306,ns,ns,8153
250 à 499 salariés,1026,351,s,71,3140,s,826,209,s,4660,s,719,318,s,s,1337,5997,534,2286,8817,ns,ns,8060
500 salariés ou plus,476,s,s,219,2170,s,1563,s,s,8976,781,s,49,4,s,839,9815,409,2692,12916,ns,ns,12643
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquêtes annuelles sur les consommations d'énergie dans l'industrie 2015 (2 vagues d’interrogation).",,,,,,,,,,,,,,,,,,,,,,,
