REG_T5 :  Contrats d’électricité et de gaz selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2022 (en %),Proportion d’établissements avec un contrat d’électricité au tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat d’électricité (en %),Proportion d’établissements qui consomment du gaz (en %),Proportion d’établissements ayant renouvelé leur contrat de gaz en 2022 (en %),Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat de gaz (en %)
,,,,,,,,,,,
Île-de-France,12,21.7,54.4,3.2,8.7,12,56.9,21.5,80.2,16,3.8
Centre-Val de Loire,19,11.2,50,9.3,13.7,15.7,54.6,15.6,78.3,13.3,8.4
Bourgogne-Franche-Comté,23.5,7.1,64.7,5.2,8.9,14.1,56.2,18.8,74.7,17.5,7.8
Normandie,23.2,17,56.8,2.5,11.4,12.3,60.1,23.6,74,19.3,6.7
Hauts-de-France,19.5,16.1,50.4,5.3,11.7,16.5,62.4,19.8,69.6,18.1,12.3
Grand Est,24.4,13.2,54.6,4.4,11.9,16,62.8,22,73.7,20.3,5.9
Pays de la Loire,28.5,14.4,53.6,4.2,14.1,13.7,50.9,22.2,71.9,22.7,5.3
Bretagne,29.9,17.2,56.4,4.8,11.6,10.1,45.8,31.3,66.2,18.8,15
Nouvelle-Aquitaine,24.3,14.2,51.3,6.1,10.1,18.4,48.7,19.6,76.1,17.5,6.4
Occitanie,23.4,13.4,49.9,8.5,11,17.1,35.6,20.5,67,20.8,12.2
Auvergne-Rhône-Alpes,26.3,12,56.1,6.9,11.6,13.4,60.3,21.4,75.6,17.1,7.3
Provence-Alpes-Côte d'Azur,23.4,11.8,36,10.8,16.9,24.4,38.4,20.2,68.5,23.8,7.7
Département d’Outre-Mer,11.3,72.6,8.9,4.3,0.5,13.7,2.6,0,78.8,21.2,0
France entière,23.2,15.1,52.9,5.7,11.4,15,53.5,21.3,73.7,18.5,7.8
,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,
