naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,94,0,1,21,,,0,0,0,2.0,,,,,,,,,,,,,
14,Industrie de l'habillement,6,0,0,5,,,0,0,0,1.0,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,3,0,0,3,,,0,0,0,1.0,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,0,,4,,,,,0,18.0,,,,,,,,,,,,,
17,Industrie du papier et du carton,716,,,48,,,1,0,0,3.0,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,29,0,0,18,,,0,0,0,1.0,,,,,,,,,,,,,
20,Industrie chimique,1776,1028,63,137,,,4,1,0,8.0,,,,,,,,,,,,,
21,Industrie pharmaceutique,125,0,0,,,,,,1,0.0,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,131,7,31,48,,,1,0,0,5.0,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1519,,0,,,,9,1,1,26.0,,,,,,,,,,,,,
24,Métallurgie,1041,1,0,77,,,,,0,13.0,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",178,0,0,113,,,1,0,0,9.0,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",8,1,0,23,,,0,,,1.0,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,51,22,0,47,,,0,0,0,2.0,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,45,0,0,83,,,4,1,0,5.0,,,,,,,,,,,,,
29,Industrie automobile,169,0,4,143,,,1,,0,3.0,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,,,1,56,,,1,0,1,2.0,,,,,,,,,,,,,
31,Fabrication de meubles,9,0,0,9,,,0,0,0,2.0,,,,,,,,,,,,,
32,Autres industries manufacturières,15,0,0,11,,,0,0,0,1.0,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,2,0,0,13,,,4,0,0,2.0,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",,0,,3,,,5,1,0,20.0,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",29,0,0,1,,,28.0,1,0.0,43.0,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2172.0,4.0,166.0,122.0,,,15.0,0.0,4.0,2.0,,,,,,,,,,,,,
_T,Total,8266,1077,339,1099,,,86,7,9,184.0,,,,,,,,,,,,,
