COD_VAR;LIB_VAR;COD_MOD;LIB_MOD1
ANNEE;Année;1996;1996
ANNEE;Année;1997;1997
ANNEE;Année;1998;1998
ANNEE;Année;1999;1999
ANNEE;Année;2000;2000
ANNEE;Année;2001;2001
ANNEE;Année;2002;2002
ANNEE;Année;2003;2003
ANNEE;Année;2004;2004
ANNEE;Année;2005R;2005
ANNEE;Année;2005;2005
ANNEE;Année;2006;2006
ANNEE;Année;2007;2007
ANNEE;Année;2008;2008
ANNEE;Année;2009;2009
ANNEE;Année;2010;2010
ANNEE;Année;2011;2011
ANNEE;Année;2012;2012
ANNEE;Année;2013;2013
ANNEE;Année;2014;2014
ANNEE;Année;2015;2015
ANNEE;Année;2016;2016
ANNEE;Année;2017;2017
ANNEE;Année;2018;2018
ANNEE;Année;2019;2019
ANNEE;Année;2020;2020
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;CONSBRT;Consommation brute (en millions de TEP)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;CONSNET;Consommation nette (en millions de TEP)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;FACTURE;Facture énergétique (en millions d'euros courants)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;BR_PCT;Electricité consommée hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;CMS_PCT;Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;DR_PCT;Gaz de réseau consommé hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;PP_PCT;Produits pétroliers (coke de pétrole, butane-propane, fioul lourd et fioul domestique) consommés hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;CR_PCT;Vapeur consommée hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;ENM_PCT;Énergies non marchandes consommées hors utilisation en tant que matière première (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;TOT_PCT;Total (en %)
INDIC_SL;Séries longues de 1996 à 2020 sur les consommations énergétiques;BR_PRIX;Prix moyen annuel de l'électricité (en € / Mwh)
